cod pro;Razão Social;Nome Fantasia;ativo;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1403;FL115V3;10226;NOTEBOOK DELL LATITUDE 5420 CORE I5 SSD;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;05/03/2024;1219;;Retorno;340,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1410;CNQ06V3;10254;NOTEBOOK DELL LATITUDE 5420 CORE I5 SSD;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;05/03/2024;1215;;Retorno;420,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2004;PE08BL83;1040;NOTEBOOK LENOVO THINKPAD T14 RYZEN 7 G1;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;05/03/2024;1217;;Retorno;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2295;PE0BXFY8;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;05/03/2024;1218;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1028;PE07D1BT;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;07/03/2024;1240;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1334;PE06S9ND;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;08/03/2024;1252;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1990;PE072RLY;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;LINX NEGOCIADO;;08/03/2024;1245;;Retorno;245,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2137;PE09R54R;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;08/03/2024;1251;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1334;PE06S9ND;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;11/03/2024;1258;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1818;PE099CRJ;1025;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;11/03/2024;1246;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2032;PE0AV9E3;10210;NOTEBOOK LENOVO THINKPAD L14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;13/03/2024;1275;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2137;PE09R54R;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;13/03/2024;1277;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1121;PE072S2H;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;14/03/2024;1288;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1389;1J115V3;10226;NOTEBOOK DELL LATITUDE 5420 CORE I5 SSD;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;14/03/2024;1290;;Envio;340,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1521;PE0A9R67;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;14/03/2024;1279;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1124;PE06SJBC;10212;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;15/03/2024;1287;;Envio;260,00
